what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1482935691462
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1482935694163
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1482935696872
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1482935702016
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1482935702951
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1482935708760
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1482935709735
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1482935715760
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1482935731422
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1482935735119
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1482935736734
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1482935737818
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1482935744025
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1482935746942
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1482935751507
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1482935772639
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1482935774825
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1482935776541
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1482935776552
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1482935779273
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1482935789036
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1482935793046
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1482935793225
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1482935793231
opened,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1482935800794
