what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1482822616014
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1482822617416
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1482822618521
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1482822628636
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1482822630767
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1482822643051
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1482822656321
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1482822658789
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1482822666285
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1482822669826
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1482822671750
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1482822737667
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1482822746380
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1482822747534
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1482822764295
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1482822772521
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1482822773551
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1482822780676
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1482822782348
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1482822794055
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1482822819070
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1482827259922
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1482827283681
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1482827302156
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1482827313344
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1482827323093
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1482827324560
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1482827324580
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1482827325929
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1482827326027
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1482827328893
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1482827329331
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1482827329431
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1482827331681
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1482827331938
